state,party,governer,state_senate,state_house
Alabama,Republican,Republican,Republican,Republican
Alaska,Republican,Republican,Republican,Republican
Arizona,Republican,Republican,Republican,Republican
Arkansas,Republican,Republican,Republican,Republican
California,Democratic,Democratic,Democratic,Democratic
Colorado,Democratic,Democratic,Democratic,Democratic
Connecticut,Democratic,Democratic,Democratic,Democratic
Delaware,Democratic,Democratic,Democratic,Democratic
Florida,Republican,Republican,Republican,Republican
Georgia,Republican,Republican,Republican,Republican
Hawaii,Democratic,Democratic,Democratic,Democratic
Idaho,Republican,Republican,Republican,Republican
Illinois,Democratic,Democratic,Democratic,Democratic
Indiana,Republican,Republican,Republican,Republican
Iowa,Republican,Republican,Republican,Republican
Kansas,Republican,Democratic,Republican,Republican
Kentucky,Republican,Republican,Republican,Republican
Louisiana,Republican,Democratic,Republican,Republican
Maine,Democratic,Democratic,Democratic,Democratic
Maryland,Democratic,Republican,Democratic,Democratic
Massachusetts,Democratic,Republican,Democratic,Democratic
Michigan,Republican,Democratic,Republican,Republican
Minnesota,Democratic,Democratic,Republican,Democratic
Mississippi,Republican,Republican,Republican,Republican
Missouri,Republican,Republican,Republican,Republican
Montana,Republican,Democratic,Republican,Republican
Nebraska,Republican,Republican,Republican,Republican
Nevada,Democratic,Democratic,Democratic,Democratic
New Hampshire,Democratic,Republican,Democratic,Democratic
New Jersey,Democratic,Democratic,Democratic,Democratic
New Mexico,Democratic,Democratic,Democratic,Democratic
New York,Democratic,Democratic,Democratic,Democratic
North Carolina,Republican,Democratic,Republican,Republican
North Dakota,Republican,Republican,Republican,Republican
Ohio,Republican,Republican,Republican,Republican
Oklahoma,Republican,Republican,Republican,Republican
Oregon,Democratic,Democratic,Democratic,Democratic
Pennsylvania,Republican,Democratic,Republican,Republican
Rhode Island,Democratic,Democratic,Democratic,Democratic
South Carolina,Republican,Republican,Republican,Republican
South Dakota,Republican,Republican,Republican,Republican
Tennessee,Republican,Republican,Republican,Republican
Texas,Republican,Republican,Republican,Republican
Utah,Republican,Republican,Republican,Republican
Vermont,Democratic,Republican,Democratic,Democratic
Virginia,Democratic,Democratic,Republican,Republican
Washington,Democratic,Democratic,Democratic,Democratic
West Virginia,Republican,Republican,Republican,Republican
Wisconsin,Republican,Democratic,Republican,Republican
Wyoming,Republican,Republican,Republican,Republican
