Height,Weight
73.85,241.89
68.78,162.31
74.11,212.74
71.73,220.04
69.88,206.35
67.25,152.21
68.79,183.93
68.35,167.97
67.02,175.93
63.46,156.40
71.20,186.60
71.64,213.74
64.77,167.13
69.28,189.45
69.24,186.43
67.65,172.19
72.42,196.03
63.97,172.88
69.64,185.98
67.94,182.43
67.92,174.12
69.44,197.73
66.15,149.17
75.21,228.76
67.89,162.01
68.14,192.34
69.09,184.44
72.80,206.83
67.42,175.21
68.50,154.34
68.62,187.51
74.03,212.91
71.53,195.03
69.18,205.18
69.58,204.16
70.40,192.90
69.08,197.49
67.19,183.81
65.81,163.85
64.30,163.11
67.97,172.14
72.19,194.05
65.27,168.62
66.09,161.19
67.51,164.66
70.10,188.92
68.25,187.06
72.17,209.07
69.18,192.01
72.87,211.34
64.78,165.61
70.18,201.07
68.49,173.42
67.33,181.41
66.99,169.74
66.50,163.31
68.35,189.71
70.77,192.12
71.22,198.20
70.01,209.53
71.40,198.76
69.55,198.08
73.82,195.29
67.00,164.94
71.42,179.86
65.28,155.25
68.27,184.52
72.77,220.68
68.10,183.31
68.90,196.45
69.29,184.60
70.52,207.53
69.66,177.20
67.60,163.11
72.51,216.22
71.25,204.66
71.81,200.92
72.25,220.90
66.51,196.45
66.03,168.64
67.58,181.43
68.25,198.66
73.83,237.92
69.80,173.04
65.96,160.68
71.08,188.60
66.60,208.35
68.95,193.44
68.24,174.11
72.32,197.37
71.82,201.62
65.24,181.01
70.64,182.12
64.73,177.55
67.10,164.97
65.12,165.72
71.70,193.09
66.83,180.68
66.47,172.77
69.41,177.47
70.05,200.82
66.74,167.74
66.27,154.40
68.33,177.98
70.08,183.94
68.73,179.20
67.56,158.57
66.25,166.50
69.18,171.98
67.61,174.36
69.29,187.75
68.19,201.49
71.61,204.93
69.20,178.69
67.26,164.01
73.69,223.27
69.54,202.96
68.31,189.39
67.74,178.17
71.71,223.30
63.63,167.03
68.72,180.47
66.95,164.44
62.71,149.97
72.26,192.91
70.91,201.88
67.61,179.87
70.80,196.47
69.30,187.55
66.24,171.69
67.49,191.70
65.81,165.85
71.44,185.66
68.46,178.28
63.99,150.98
71.00,209.93
68.14,174.16
68.40,179.88
68.10,167.75
68.14,183.04
68.86,169.56
66.15,173.43
66.21,180.89
67.43,183.51
69.47,205.98
70.52,183.76
71.34,201.95
71.00,216.12
66.20,159.39
72.54,210.34
67.48,178.62
65.35,146.74
70.84,195.94
69.94,170.18
64.74,169.65
69.31,198.38
68.84,179.91
61.94,147.26
68.59,176.98
65.22,185.47
64.33,177.49
68.75,169.83
72.49,198.58
67.23,203.35
67.26,193.22
65.12,178.13
66.26,162.78
67.70,159.29
65.53,172.11
69.87,201.84
68.48,170.35
72.21,205.39
68.18,169.79
71.98,200.44
66.07,178.59
66.66,168.01
67.60,177.77
68.25,193.28
64.81,162.38
67.49,183.38
68.18,181.06
69.55,210.87
66.40,165.57
66.59,196.15
71.94,202.05
68.29,170.41
69.96,201.95
71.85,193.39
65.76,179.86
67.03,156.49
76.71,235.04
72.57,230.56
69.73,203.90
72.80,218.22
72.54,222.67
72.29,208.47
67.25,180.78
75.94,231.92
66.32,170.59
71.16,188.27
71.19,196.06
72.20,214.60
75.14,224.12
64.41,158.58
64.73,166.50
63.41,160.14
67.85,176.17
65.93,174.49
70.97,193.91
67.58,186.99
68.59,173.60
70.32,193.35
72.39,208.44
70.82,206.03
65.90,172.58
74.80,232.64
67.68,177.24
67.16,175.65
71.77,212.63
64.67,166.97
68.12,196.41
66.79,165.43
66.81,176.57
67.89,174.65
69.17,195.24
70.22,205.68
64.86,158.34
67.82,169.08
63.44,135.66
71.85,218.16
66.73,155.90
71.97,201.53
76.02,235.93
71.48,195.39
67.37,176.64
70.56,198.46
69.87,185.72
67.95,177.35
74.10,215.76
69.17,187.02
66.56,171.59
66.70,172.84
67.25,168.28
69.05,163.82
70.67,190.02
65.50,156.87
65.19,172.61
67.57,169.06
73.82,231.37
71.61,207.25
67.72,172.15
68.23,199.83
65.93,168.09
71.55,197.82
69.16,196.89
68.60,180.22
71.06,189.13
63.64,158.42
71.18,208.92
66.13,187.14
65.06,157.58
68.09,181.64
70.99,204.75
74.22,231.13
69.33,186.26
64.93,181.09
68.35,198.92
70.93,203.37
61.48,161.03
68.49,189.81
72.05,200.20
72.52,221.86
71.23,214.06
72.26,201.70
67.57,187.19
72.27,196.53
62.60,151.72
