Gender,Height,Weight
Male,73.85,241.89
Male,68.78,162.31
Male,74.11,212.74
Male,71.73,220.04
Male,69.88,206.35
Male,67.25,152.21
Male,68.79,183.93
Male,68.35,167.97
Male,67.02,175.93
Male,63.46,156.40
Male,71.20,186.60
Male,71.64,213.74
Male,64.77,167.13
Male,69.28,189.45
Male,69.24,186.43
Male,67.65,172.19
Male,72.42,196.03
Male,63.97,172.88
Male,69.64,185.98
Male,67.94,182.43
Male,67.92,174.12
Male,69.44,197.73
Male,66.15,149.17
Male,75.21,228.76
Male,67.89,162.01
Male,68.14,192.34
Male,69.09,184.44
Male,72.80,206.83
Male,67.42,175.21
Male,68.50,154.34
Male,68.62,187.51
Male,74.03,212.91
Male,71.53,195.03
Male,69.18,205.18
Male,69.58,204.16
Male,70.40,192.90
Male,69.08,197.49
Male,67.19,183.81
Male,65.81,163.85
Male,64.30,163.11
Male,67.97,172.14
Male,72.19,194.05
Male,65.27,168.62
Male,66.09,161.19
Male,67.51,164.66
Male,70.10,188.92
Male,68.25,187.06
Male,72.17,209.07
Male,69.18,192.01
Male,72.87,211.34
Male,64.78,165.61
Male,70.18,201.07
Male,68.49,173.42
Male,67.33,181.41
Male,66.99,169.74
Male,66.50,163.31
Male,68.35,189.71
Male,70.77,192.12
Male,71.22,198.20
Male,70.01,209.53
Male,71.40,198.76
Male,69.55,198.08
Male,73.82,195.29
Male,67.00,164.94
Male,71.42,179.86
Male,65.28,155.25
Male,68.27,184.52
Male,72.77,220.68
Male,68.10,183.31
Male,68.90,196.45
Male,69.29,184.60
Male,70.52,207.53
Male,69.66,177.20
Male,67.60,163.11
Male,72.51,216.22
Male,71.25,204.66
Male,71.81,200.92
Male,72.25,220.90
Male,66.51,196.45
Male,66.03,168.64
Male,67.58,181.43
Male,68.25,198.66
Male,73.83,237.92
Male,69.80,173.04
Male,65.96,160.68
Male,71.08,188.60
Male,66.60,208.35
Male,68.95,193.44
Male,68.24,174.11
Male,72.32,197.37
Male,71.82,201.62
Male,65.24,181.01
Male,70.64,182.12
Male,64.73,177.55
Male,67.10,164.97
Male,65.12,165.72
Male,71.70,193.09
Male,66.83,180.68
Male,66.47,172.77
Male,69.41,177.47
Male,70.05,200.82
Male,66.74,167.74
Male,66.27,154.40
Male,68.33,177.98
Male,70.08,183.94
Male,68.73,179.20
Male,67.56,158.57
Male,66.25,166.50
Male,69.18,171.98
Male,67.61,174.36
Male,69.29,187.75
Male,68.19,201.49
Male,71.61,204.93
Male,69.20,178.69
Male,67.26,164.01
Male,73.69,223.27
Male,69.54,202.96
Male,68.31,189.39
Male,67.74,178.17
Male,71.71,223.30
Male,63.63,167.03
Male,68.72,180.47
Male,66.95,164.44
Male,62.71,149.97
Male,72.26,192.91
Male,70.91,201.88
Male,67.61,179.87
Male,70.80,196.47
Male,69.30,187.55
Male,66.24,171.69
Male,67.49,191.70
Male,65.81,165.85
Male,71.44,185.66
Male,68.46,178.28
Male,63.99,150.98
Male,71.00,209.93
Male,68.14,174.16
Male,68.40,179.88
Male,68.10,167.75
Male,68.14,183.04
Male,68.86,169.56
Male,66.15,173.43
Male,66.21,180.89
Male,67.43,183.51
Male,69.47,205.98
Male,70.52,183.76
Male,71.34,201.95
Male,71.00,216.12
Male,66.20,159.39
Male,72.54,210.34
Male,67.48,178.62
Male,65.35,146.74
Male,70.84,195.94
Male,69.94,170.18
Male,64.74,169.65
Male,69.31,198.38
Male,68.84,179.91
Male,61.94,147.26
Male,68.59,176.98
Male,65.22,185.47
Male,64.33,177.49
Male,68.75,169.83
Male,72.49,198.58
Male,67.23,203.35
Male,67.26,193.22
Male,65.12,178.13
Male,66.26,162.78
Male,67.70,159.29
Male,65.53,172.11
Male,69.87,201.84
Male,68.48,170.35
Male,72.21,205.39
Male,68.18,169.79
Male,71.98,200.44
Male,66.07,178.59
Male,66.66,168.01
Male,67.60,177.77
Male,68.25,193.28
Male,64.81,162.38
Male,67.49,183.38
Male,68.18,181.06
Male,69.55,210.87
Male,66.40,165.57
Male,66.59,196.15
Male,71.94,202.05
Male,68.29,170.41
Male,69.96,201.95
Male,71.85,193.39
Male,65.76,179.86
Male,67.03,156.49
Male,76.71,235.04
Male,72.57,230.56
Male,69.73,203.90
Male,72.80,218.22
Male,72.54,222.67
Male,72.29,208.47
Male,67.25,180.78
Male,75.94,231.92
Male,66.32,170.59
Male,71.16,188.27
Male,71.19,196.06
Male,72.20,214.60
Male,75.14,224.12
Male,64.41,158.58
Male,64.73,166.50
Male,63.41,160.14
Male,67.85,176.17
Male,65.93,174.49
Male,70.97,193.91
Male,67.58,186.99
Male,68.59,173.60
Male,70.32,193.35
Male,72.39,208.44
Male,70.82,206.03
Male,65.90,172.58
Male,74.80,232.64
Male,67.68,177.24
Male,67.16,175.65
Male,71.77,212.63
Male,64.67,166.97
Male,68.12,196.41
Male,66.79,165.43
Male,66.81,176.57
Male,67.89,174.65
Male,69.17,195.24
Male,70.22,205.68
Male,64.86,158.34
Male,67.82,169.08
Male,63.44,135.66
Male,71.85,218.16
Male,66.73,155.90
Male,71.97,201.53
Male,76.02,235.93
Male,71.48,195.39
Male,67.37,176.64
Male,70.56,198.46
Male,69.87,185.72
Male,67.95,177.35
Male,74.10,215.76
Male,69.17,187.02
Male,66.56,171.59
Male,66.70,172.84
Male,67.25,168.28
Male,69.05,163.82
Male,70.67,190.02
Male,65.50,156.87
Male,65.19,172.61
Male,67.57,169.06
Male,73.82,231.37
Male,71.61,207.25
Male,67.72,172.15
Male,68.23,199.83
Male,65.93,168.09
Male,71.55,197.82
Male,69.16,196.89
Male,68.60,180.22
Male,71.06,189.13
Male,63.64,158.42
Male,71.18,208.92
Male,66.13,187.14
Male,65.06,157.58
Male,68.09,181.64
Male,70.99,204.75
Male,74.22,231.13
Male,69.33,186.26
Male,64.93,181.09
Male,68.35,198.92
Male,70.93,203.37
Male,61.48,161.03
Male,68.49,189.81
Male,72.05,200.20
Male,72.52,221.86
Male,71.23,214.06
Male,72.26,201.70
Male,67.57,187.19
Male,72.27,196.53
Male,62.60,151.72
Male,66.24,167.30
Male,69.65,198.84
Male,69.29,178.79
Male,70.73,193.54
Male,68.83,197.74
Male,66.01,184.46
Male,66.41,155.19
Male,66.62,160.99
Male,68.03,189.08
Male,70.50,172.99
Male,69.16,195.90
Male,70.80,215.75
Male,65.19,166.71
Male,74.79,239.46
Male,71.07,184.28
Male,69.33,199.98
Male,69.90,191.41
Male,64.43,169.11
Male,67.85,194.74
Male,67.55,183.27
Male,74.77,210.37
Male,71.42,198.04
Male,67.12,172.66
Male,69.86,197.07
Male,68.43,190.51
Male,67.93,184.56
Male,68.50,179.93
Male,65.24,159.50
Male,70.19,197.88
Male,71.10,217.27
Male,68.45,187.91
Male,65.42,176.86
Male,67.70,185.15
Male,74.22,223.31
Male,71.17,206.94
Male,67.23,171.02
Male,67.88,175.22
Male,67.38,173.31
Male,68.76,181.13
Male,71.71,202.61
Male,69.38,199.85
Male,73.72,223.51
Male,69.45,219.26
Male,70.79,211.22
Male,71.77,200.80
Male,69.34,208.81
Male,65.29,161.42
Male,70.92,207.84
Male,68.60,180.83
Male,68.60,176.82
Male,69.48,194.60
Male,65.93,163.01
Male,68.52,173.27
Male,73.93,215.62
Male,71.20,210.13
